සුත්තභික්ඛූම්හි	1
අජානන්තස්ස	32
අසාදියන්තස්ස	2
උම්මත්තකස්ස	119
ඛිත්තචිත්තස්ස	8
වෙදනට්ටස්ස	8
ආදිකම්මිකස්සාති	121
සන්ථත	1
භාණවාරො	3
විනීතවත්ථු	1
උද්දානගාථා	2
මක්කටී	1
වජ්ජිපුත්තා	1
ගිහී	40
නග්ගො	6
තිත්ථියා	3
දාරිකුප්පලවණ්ණා	1
බ්යඤ්ජනෙහිපරෙ	1
දුවෙ	105
මාතා	28
ධීතා	6
භගිනී	10
ජායා	3
මුදු	7
ලම්බිනො	1
ද්වෙ	943
වණාලෙපචිත්තඤ්ච	1
දාරුධීතලිකාය	4
සුන්දරෙන	1
සහ	67
පඤ්ච	522
සිවථිකට්ඨිකා	1
නාගී	1
යක්ඛී	5
පෙතී	4
පණ්ඩකොපහතො	1
ඡුපෙ	1
භද්දියෙ	5
අරහං	52
සුත්තො	5
සාවත්ථියා	6
චතුරො	20
පරෙ	66
වෙසාලියා	2
තයො	307
මල්ලා	4
සුපිනෙ	1
භාරුකච්ඡකො	1
සුපබ්බා	1
සද්ධා	46
භික්ඛුනී	201
සික්ඛමානා	9
සාමණෙරී	5
වෙසියා	1
පණ්ඩකො	33
අඤ්ඤමඤ්ඤං	33
බුඩ්ඪපබ්බජිතො	5
මිගො	2
ති	170
සමයෙන	608
අඤ්ඤතරො	153
භවිස්සතීති	59
ගිහීලිඞ්ගෙන	1
පතිසෙවි	5
කුක්කුච්චං	140
ආපත්තිං	232
ආපන්නො	43
පාරාජිකන්ති	31
හුත්වා	11
පුරාණදුතියිකාය	3
මුදුපිට්ඨිකො	1
අනභිරතියා	3
පීළිතො	4
අත්තනො	84
මුඛෙන	11
අග්ගහෙසි	7
ලම්බී	1
වච්චමග්ගං	5
පවෙසෙසි	3
සාරත්තො	83
ලෙපචිත්තස්ස	1
ඡුපි	3
දුක්කටස්සාති	111
සුන්දරො	3
රාජගහා	1
පබ්බජිතො	33
රථිකාය	3
ගච්ඡති	221
අඤ්ඤතරා	14
ඉත්ථි	29
මුහුත්තං	7
ආගමෙහි	10
වන්දිස්සාමීති	1
වන්දන්තී	2
අන්තරවාසකං	3
උක්ඛිපිත්වා	4
සාදියි	3
භික්ඛූති	64
නාහං	69
සාදියින්ති	2
අසාදියන්තස්සාති	2
සීවථිකං	14
ගන්ත්වා	39
සරීරං	17
පස්සිත්වා	18
ඛයිතං	1
අහොසිඅනාපත්ති	2
ථුල්ලච්චයස්සාති	34
ඡින්නසීසං	2
වත්තකතෙ	2
මුඛෙ	9
ඡුපන්තං	1
අච්ඡුපන්තං	1
වෙසාලියං	33
ලිච්ඡවිකුමාරකා	3
ගහෙත්වා	44
භික්ඛුනියා	110
විප්පටිපාදෙසුං	4
සාදියිංසු	6
උභින්නං	109
සික්ඛමානාය	15
සාමණෙරියා	7
භික්ඛූ	900
සමත්තං	60
දුතියපාරාජිකං	3
ආයස්මතො	82
ධනියස්ස	2
කුම්භකාරපුත්තස්ස	2
ගාමං	27
පවිට්ඨස්ස	1
තිණහාරියො	1
කට්ඨහාරියො	1
තිණකුටිකං	1
භින්දිත්වා	10
තිණඤ්ච	1
කට්ඨඤ්ච	2
ආදාය	61
අගමංසු	5
වස්සකාරො	6
මගධමහාමත්තො	5
අනත්තමනො	13
දෙවො	21
දෙවගහදාරූනි	1
නගරපටිසඞ්ඛාරිකානි	1
ආපදත්ථාය	1
නික්ඛිත්තානි	1
දස්සතීති	2
කිස්ස	50
තුම්හෙ	74
රජකභණ්ඩිකං	1
අවහරිත්ථාති	1
තඤ්ච	51
ගාමෙ	17
අරඤ්ඤෙති	1
දුතියපඤ්ඤත්ති	1
භික්ඛකොති	1
අධිප්පෙතො	11
ගාමූපචාරො	1
පරික්ඛිත්තස්ස	6
ගාමස්ස	8
ඉන්දඛීලෙ	1
ඨිතස්ස	10
මජ්ඣිමස්ස	6
පුරිසස්ස	73
ලෙඩ්ඩුපාත	1
අපරික්ඛිත්තස්ස	6
ඝරූපචාරෙ	1
ලෙඩ්ඩුපාතො	1
අරඤ්ඤං	5
ඨපෙත්වා	75
ගාමඤ්ච	3
ගාමූපචාරඤ්ච	3
අවසෙසං	12
අදින්නං	33
නාමං	11
අනිස්සට්ඨං	1
අපරිච්චත්තං	1
රක්ඛිතං	5
ගොපිතං	1
මමායිතං	2
පරපරිග්ගහිතං	1
ථෙය්යසඞ්ඛාතන්ති	1
ථෙය්යචිත්තො	22
අවහරණචිත්තො	1
ආදියෙය්යාති	2
ආදියෙය්ය	2
හරෙය්ය	4
අවහරෙය්ය	1
ඉරියාපථං	2
විකොපෙය්ය	1
ඨානා	14
චාවෙය්ය	1
සංකෙතං	4
වීතිනාමෙය්ය	1
යථාරූපං	1
පාදං	38
පාදාරහං	2
අතිරෙකපාදං	2
රාජානො	9
පථබ්යාරාජා	1
පදෙසරාජා	1
මණ්ඩලිකා	1
අන්තරභොගිකා	1
අක්ඛදස්සා	1
මහාමත්තා	6
ඡෙජ්ජභෙජ්ජං	1
අනුසාසන්ති	1
එතෙ	100
චොරො	10
පඤ්චමාසකං	5
අතිරෙකපඤ්චමාසකං	5
අග්ඝනකං	5
ථෙය්යසඞ්ඛාතං	7
ආදියති	12
හනෙය්යුං	2
වාති	204
පාදෙන	3
කසාය	1
වෙත්තෙන	1
අද්ධදණ්ඩකෙන	1
ඡෙජ්ජාය	1
බන්ධෙය්යුං	2
රජ්ජුබන්ධනෙන	1
අන්දුබන්ධනෙන	1
සඞ්ඛලිකබන්ධනෙන	1
ඝරබන්ධනෙන	1
නගරබන්ධනෙන	1
ගාමබන්ධනෙන	1
නිගමබන්ධනෙන	1
පුරිසගුත්තිං	1
කරෙය්යුං	2
පබ්බාජෙය්යුං	3
ගාමා	5
නිගමා	2
නගරා	5
